"CONTRACT_NO","BORROWER_ID","LOAN_NAME","LOAN_TYPE","PRINCIPAL_AMOUNT","DATE_OF_ISSUE","INTEREST_RATE","INTEREST_TYPE","LOAN_PERIOD","EMI_AMOUNT","MORTAGE_TYPE","MORTAGE_AMOUNT","NO_OF_DAYS_IN_ARREARS","LOAN_STATUS"
"NAMBA007572","STK2363234","MOTOR BICYCLE ","LEASING",134800,02-01-17,28,"EFFECTIVE_RATE",36,5576,"VEHICLE",235500,-120,"PERFORMING"
"PGMBA010583","STK2365586","MOTOR BICYCLE ","LEASING",87500,03-01-17,41.49,"EFFECTIVE_RATE",36,4287,"VEHICLE",125000,-30,"PERFORMING"
"ARMBA012299","STK2365735","MOTOR BICYCLE ","LEASING",149660,03-01-17,39.87,"EFFECTIVE_RATE",36,7189,"VEHICLE",213800,60,"PERFORMING"
"BMMBA011777","STK2366213","MOTOR BICYCLE ","LEASING",148700,04-01-17,38.5,"EFFECTIVE_RATE",24,8979,"VEHICLE",235500,90,"PERFORMING"
"GWMBA009392","STK559793","MOTOR BICYCLE ","LEASING",80000,05-01-17,30,"EFFECTIVE_RATE",12,7799,"VEHICLE",290000,-30,"PERFORMING"
"WWMBA007633","STK2368016","MOTOR BICYCLE ","LEASING",174965,09-01-17,39.25,"EFFECTIVE_RATE",36,8342,"VEHICLE",249950,333.6,"NPL"
"ARMBA013216","STK1412861","MOTOR BICYCLE ","LEASING",118999,13-01-17,41.65,"EFFECTIVE_RATE",36,5841,"VEHICLE",169999,-239.1,"PERFORMING"
"NPMBA004861","STK2370811","MOTOR BICYCLE ","LEASING",145000,16-01-17,42.23,"EFFECTIVE_RATE",24,9048,"VEHICLE",235500,-30,"PERFORMING"
"NYMBA008364","STK2371433","MOTOR BICYCLE ","LEASING",165000,17-01-17,38.39,"EFFECTIVE_RATE",24,9954,"VEHICLE",235500,632.4,"NPL"
"MGMBA019195","STK2007814","MOTOR BICYCLE ","LEASING",210000,24-01-17,38.21,"EFFECTIVE_RATE",24,12648,"VEHICLE",300000,60,"PERFORMING"
"CGMBA018196","STK2044927","MOTOR BICYCLE ","LEASING",244300,23-01-17,52.24,"EFFECTIVE_RATE",12,26568,"VEHICLE",429300,-30,"PERFORMING"
"BTMBA015418","STK2344715","MOTOR BICYCLE ","LEASING",164500,20-01-17,40.49,"EFFECTIVE_RATE",36,7962,"VEHICLE",235500,-295.8,"PERFORMING"
"DKMBA009514","STK2255316","MOTOR BICYCLE ","LEASING",80000,24-01-17,28,"EFFECTIVE_RATE",24,4392,"VEHICLE",115000,-30,"PERFORMING"
"NKMBA012077","STK2379007","MOTOR BICYCLE ","LEASING",155900,23-01-17,39.55,"EFFECTIVE_RATE",30,8262,"VEHICLE",235500,0,"PERFORMING"
"CWMBA010325","STK2377787","MOTOR BICYCLE ","LEASING",98630,25-01-17,42.96,"EFFECTIVE_RATE",36,4917,"VEHICLE",140900,-60,"PERFORMING"
"TBMBA011209","STK2360720","MOTOR BICYCLE ","LEASING",121030,04-01-17,42.44,"EFFECTIVE_RATE",36,5997,"VEHICLE",172900,-150,"PERFORMING"
"AGMBA005066","STK1360709","MOTOR BICYCLE ","LEASING",185500,04-01-17,38.79,"EFFECTIVE_RATE",36,8794,"VEHICLE",264999,147.6,"PERFORMING"
