date,team_1,team_2,inverted_teams,match_id,event_id,best_of,system,t1_removed_1,t1_removed_2,t1_removed_3,t2_removed_1,t2_removed_2,t2_removed_3,t1_picked_1,t2_picked_1,left_over,t1_map1_wr,t1_map2_wr,t1_map3_wr,t2_map1_wr,t2_map2_wr,t2_map3_wr
2020-03-06,pro100,SG.pro,1,2340061,5109,3,123412,Nuke,Train,0.0,Inferno,Overpass,0.0,Dust2,Vertigo,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,SpeedRunners,HellRaisers,0,2340058,5109,3,123412,Vertigo,Overpass,0.0,Nuke,Mirage,0.0,Train,Inferno,Dust2,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,Finest,ATK,0,2340129,5195,3,123412,Overpass,Train,0.0,Vertigo,Nuke,0.0,Dust2,Inferno,Mirage,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Skyfire,Rooster,0,2339974,5236,3,123412,Dust2,Nuke,0.0,Train,Inferno,0.0,Vertigo,Mirage,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Chaos,Copenhagen Flames,1,2339807,5210,3,123412,Train,Overpass,0.0,Dust2,Vertigo,0.0,Mirage,Nuke,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,TeamOne,paiN,0,2339968,5173,3,123412,Vertigo,Inferno,0.0,Mirage,Train,0.0,Nuke,Dust2,Overpass,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Imperial,BOOM,0,2339969,5173,3,123412,Vertigo,Overpass,0.0,Inferno,Train,0.0,Dust2,Mirage,Nuke,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Updraft,D13,1,2339981,5194,3,123412,Train,Overpass,0.0,Dust2,Mirage,0.0,Nuke,Vertigo,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Invictus,EHOME,1,2339983,5241,3,123412,Inferno,Overpass,0.0,Dust2,Vertigo,0.0,Mirage,Nuke,Train,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,Syman,Hard Legion,0,2340057,5109,3,123412,Train,Nuke,0.0,Vertigo,Dust2,0.0,Overpass,Mirage,Inferno,0.0,0.0,0.0,0.0,0.0,0.0
