,team_1,team_2,_map,result_1,result_2,map_winner,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner
24,forZe,Complexity,Train,9,16,2,5226,2340279,24,17,2,1,1
25,forZe,Complexity,Mirage,19,17,1,5226,2340279,24,17,2,1,1
26,fnatic,BIG,Inferno,7,16,2,5226,2340397,5,18,1,2,2
27,forZe,Complexity,Dust2,16,9,1,5226,2340279,24,17,2,1,1
28,pro100,Japaleno,Inferno,8,16,2,5150,2340448,43,64,0,2,2
29,pro100,Japaleno,Dust2,14,16,2,5150,2340448,43,64,0,2,2
30,GamerLegion,Nordavind,Vertigo,16,9,1,5150,2340450,35,47,1,2,2
31,GamerLegion,Nordavind,Mirage,9,16,2,5150,2340450,35,47,1,2,2
32,GamerLegion,Nordavind,Nuke,14,16,2,5150,2340450,35,47,1,2,2
33,District 7,Bad News Bears,Vertigo,7,16,2,5151,2340320,93,33,7,16,2
34,Thunder Logic,TeamOne,Mirage,5,16,2,5151,2340426,160,126,5,16,2
35,Bad News Bears,Station7,Inferno,16,8,1,5151,2340315,33,133,16,8,1
36,Rugratz,New England Whalers,Mirage,16,10,1,5151,2340046,85,178,16,10,1
37,Recon 5,Oceanus,Nuke,16,5,1,5151,2340317,74,121,16,5,1
38,Chaos,In The Lab,Dust2,16,1,1,5151,2340427,43,124,16,1,1
39,Infinity,Thunder Logic,Dust2,16,14,1,5151,2340319,137,160,16,14,1
40,District 7,Rugratz,Mirage,9,16,2,5151,2340318,93,85,9,16,2
