team_won,team_lost,winning_score,losing_score
ENCE,ALTERNATE aTTaX,2,1
Astralis,Envy,2,0
Alpha,Imperio Multimedia,19,16
LowLandLions,LGR,2,0
aimclub,Bpro,16,5
fnatic,Envy,2,0
GameAgents,SuperMassive,16,11
Tricked,eSuba,2,0
MK,CPH Wolves,2,0
Luminosity,Complexity,2,0
CLG,Kaliber,2,0
Luminosity,TSM,2,1
Epsilon,GameAgents,2,0
FLuffy Gangsters,Empire,2,0
Tempo Storm,SK,3,1
ENCE,AGG,2,1
MK,Escape,2,0
GODSENT,RCTIC,2,0
Epsilon,CPH Wolves,2,1
FLuffy Gangsters,Worst Players,2,0
MK,Orbit,2,1
RCTIC,nerdRage,2,1
Escape,PENTA,2,0
GameAgents,Space Soldiers,2,0
ENCE,Millenium,2,0
AGG,visomvet,2,0
GUNRUNNERS,eSuba,2,0
GODSENT,Desperados,2,0
Worst Players,ANOX,2,1
CLG,Liquid,2,0
Complexity,TSM,2,0
NRG,Echo Fox,2,0
Empire,FLuffy Gangsters,2,1
AIMERZZ,fRactals,2,0
Tempo Storm,Virtus.pro,3,2
Empire,Worst Players,2,1
Millenium,Tricked,16,8
Epsilon,ALTERNATE aTTaX,16,13
RCTIC,deadweight,16,4
visomvet,Red Instinct RS,16,11
GameAgents,WE GOT GAME,16,12
Orbit,Reason,16,13
PENTA,edepol,16,4
Desperados,SlashCry,16,14
FLuffy Gangsters,ANOX,2,1
SK,HellRaisers,3,0
Luminosity,Cloud9,2,0
TSM,NRG,2,1
Virtus.pro,OpTic,2,0
AIMERZZ,aTw,2,0
mousesports,FaZe,2,0
Space Soldiers,AGG,3,0
SK,Dignitas,2,0
fRactals,TripGhazi,2,0
ANOX,Binary Dragons Gold,2,0
HellRaisers,Virtus.pro,2,0
Binary Dragons Gold,Vesuvius,16,4
Tempo Storm,Dignitas,2,1
Empire,Digital Wave,2,0
Empire,Arcade,16,14
OpTic,Splyce,2,1
Cloud9,Kaliber,2,0
Luminosity,Echo Fox,2,0
CPH Wolves,AliGon,2,1
SK,Selfless,2,0
TripGhazi,Hyper4mance,1,0
HellRaisers,OpTic,2,1
LowLandLions,eXtatus,2,0
Worst Players,ANOX,2,0
Epiphany Bolt,Enso,2,0
Astralis,G2,2,0
PENTA,eSuba,2,1
AIMERZZ,SuperstarS,2,0
Dignitas,Selfless,2,0
FLuffy Gangsters,Digital Wave,2,0
Virtus.pro,Splyce,2,1
Worst Players,Vesuvius,16,3
ANOX,Binary Dragons Gold,16,5
Tempo Storm,SK,2,0
FLuffy Gangsters,Arcade,16,13
Digital Wave,Empire,16,6
EDG,New4,2,0
CLG,Complexity,2,0
Luminosity,Kaliber,2,0
aTw,Infire,2,1
aimclub,XPC,22,20
FAB,mousesports,2,1
Epsilon,LGR,2,0
CSGL,FlipSid3,2,0
CPH Wolves,Epiphany Bolt,2,0
Bpro,SuperMassive,19,17
ENCE,AGG,2,1
Space Soldiers,CSatse,2,1
fRactals,drinkpizza!,2,0
RB,Pixel,19,16
AliGon,Enso,2,0
Gambit,GODSENT,2,0
TYLOO,VG.CyberZen,3,0
VG.CyberZen,EDG,2,0
BigGods,INTZ,2,1
OpTic,NRG,16,8
Liquid,Splyce,16,4
Luminosity,Selfless,16,6
Winterfox,CLG,16,13
Renegades,Complexity,16,13
Cloud9,KKona,16,4
Splyce,Liquid,16,14
NRG,OpTic,16,10
Winterfox,CLG,16,10
Luminosity,Selfless,16,14
Renegades,Complexity,16,11
Cloud9,KKona,16,9
INTZ,CNB,2,0
BigGods,Keyd,2,0
HellRaisers,CSGL,2,0
XPC,Pixel,16,6
Dignitas,SK,16,2
GameAgents,iNation,16,3
fnatic,Astralis,22,19
FlipSid3,Virtus.pro,16,6
FaZe,Envy,16,7
NIP,G2,16,10
mousesports,Natus Vincere,16,10
Dignitas,SK,25,23
Orbit,eXtatus,2,0
FaZe,Envy,16,14
Virtus.pro,FlipSid3,16,14
CSGL,GODSENT,2,0
ALTERNATE aTTaX,HellRaisers,2,0
G2,NIP,16,13
Natus Vincere,mousesports,16,10
Astralis,fnatic,16,5
TYLOO,New4,2,0
INTZ,NeedJobs,2,0
CNB,g3x,2,0
Keyd,2KILL,2,0
BigGods,TeamOne,2,1
Keyd,Innova,2,0
FlipSid3,SK,2,1
CETCTM,DMIT,2,0
ALTERNATE aTTaX,Dead Pixels,2,0
Astralis,Virtus.pro,2,0
aimclub,RB,16,3
Orbit,Enso,2,0
Virtus.pro,fnatic,2,1
CPH Wolves,DenDD,2,0
VG.CyberZen,Born Of Fire,2,0
TYLOO,VG.CyberZen,2,1
Born Of Fire,MVP Project,2,1
OpTic,Liquid,2,0
2KILL,Innova,2,1
Liquid,Selfless,16,11
CLG,Echo Fox,2,1
Selfless,Liquid,16,9
Cloud9,Splyce,16,5
Cloud9,Splyce,16,7
Keyd,g3x,2,0
shox,MICHU,2,1
MICHU,kennyS,2,1
HellRaisers,AGG,2,1
FaZe,fnatic,2,1
shox,seized,2,1
CSGL,GODSENT,2,0
SK,nerdRage,2,0
kennyS,desi,2,1
Dignitas,ENCE,2,0
desi,ShahZaM,2,1
GODSENT,deadweight,2,1
seized,kennyS,2,1
AGG,n0_0rg,2,1
SK,Escape,2,1
FIVE,AllGamers,2,1
mousesports,Virtus.pro,2,0
ENCE,Preparation,2,1
TYLOO,Born Of Fire,3,0
seized,ShahZaM,2,1
nerdRage,E-frag.net,2,0
kennyS,desi,2,1
CSGL,CPH Wolves,2,0
HellRaisers,Metapods,2,0
Dignitas,Red Instinct,2,0
shox,flamie,2,1
Born Of Fire,AllGamers,2,1
shox,kioShiMa,2,0
MICHU,flamie,2,0
flamie,shox,2,0
MICHU,kioShiMa,2,1
TYLOO,FIVE,2,0
Liquid,TSM,2,1
OpTic,CLG,16,7
OpTic,CLG,16,7
Luminosity,Renegades,16,13
Innova,CNB,16,12
Cloud9,OpTic,2,1
Innova,g3x,16,12
Luminosity,Renegades,16,3
g3x,CNB,16,3
Liquid,KKona,16,1
2KILL,INTZ,16,12
Liquid,KKona,16,1
desi,ScreaM,2,1
Keyd,INTZ,16,4
MICHU,XANTARES,2,0
ENCE,CPH Wolves,21,18
flamie,jkaem,2,0
Keyd,2KILL,16,6
ShahZaM,juliano,2,1
XPC,Deathtrap,16,6
Virtus.pro,NIP,2,0
kioShiMa,ScreaM,2,0
ENCE,n0_0rg,21,19
CPH Wolves,nerdRage,16,0
shox,XANTARES,2,0
seized,jkaem,2,1
kennyS,juliano,2,0
n0_0rg,Red Instinct,16,11
nerdRage,Metapods,16,13
ENCE,deadweight,16,8
desi,zAAz,2,1
CPH Wolves,Escape,16,10
Red Instinct,Alpha,16,10
MICHU,SpawN,2,0
n0_0rg,un-named,16,8
ENCE,ALTERNATE aTTaX,16,9
Metapods,stfuNerd,16,11
TYLOO,eFuture.BJ,2,0
flamie,Happy,2,0
CPH Wolves,Magistra,16,8
deadweight,PANTERS,16,12
nerdRage,GameAgents,16,5
ShahZaM,cadiaN,2,0
Born Of Fire,LGD,2,0
ScreaM,desi,2,0
FIVE,EDF,2,0
Escape,WiC,16,1
kioShiMa,zAAz,2,0
XANTARES,SpawN,2,0
shox,MICHU,2,1
AllGamers,eFuture,2,0
jkaem,Happy,2,0
TheMongolz,nxl,2,0
seized,flamie,2,0
juliano,cadiaN,2,1
kennyS,ShahZaM,2,1
Born Of Fire,BOOT,2,0
KoN Finland,KoN Denmark,21,15
HellRaisers,Epsilon,2,0
GameAgents,Deathtrap,16,12
Bpro,iNation,16,13
KoN Denmark,KoN Norway,16,11
AGG,E-frag.net,2,0
KoN Denmark,KoN Sweden,16,14
CS-GO.rs,Pixel,16,14
MVP Project,EDG,2,1
TheMongolz,Signature,2,0
nxl,inchk1ng,2,0
Winterfox,KKona,16,6
Winterfox,KKona,16,7
Splyce,CLG,16,13
Splyce,CLG,16,8
Virtus.pro,mousesports,19,15
FaZe,Dignitas,16,7
HellRaisers,Gambit,2,0
mousesports,Virtus.pro,16,5
CPH Wolves,RCTIC,2,0
Dignitas,FaZe,16,9
NIP,Envy,16,3
FaZe,FlipSid3,16,2
HellRaisers,E-frag.net,2,0
Escape,Torpedo,2,0
Space Soldiers,Dignitas,2,0
NIP,Envy,16,10
SuperMassive,CS-GO.rs,16,11
FaZe,FlipSid3,16,8
Signature,MVP.karnal,16,13
TYLOO,MVP Project,2,0
Immunity,Legacy,2,0
MVP.karnal,LGD,16,6
nxl,Signature,16,10
VG.CyberZen,Born Of Fire,2,0
Signature,MVP.karnal,16,8
Legacy,Chiefs,2,1
Immunity,Corvidae,2,0
EDG,HG,2,0
nxl,LGD,16,9
AliGon,BOOT,2,0
Risky,Ze Pug Godz,2,0
LGD,Winterfox,2,0
GODSENT,Gambit,2,0
SuperMassive,KoN Sweden,16,12
AGG,k1ck,2,0
Astralis,neXtPlease!,16,9
Liquid,FaZe,22,19
Luminosity,ALTERNATE aTTaX,16,5
Escape,iNation,2,0
G2,CS-GO.rs,16,3
Gambit,Planetkey,16,13
RB,mousesports,1,0
GameAgents,XPC,16,9
AGG,Method,2,1
FaZe,Splyce,16,3
Deathtrap,TogetherAsOne,16,8
mousesports,FlipSid3,31,28
TYLOO,EDG,2,0
VG.CyberZen,MVP Project,2,0
Virtus.pro,G2,16,1
Natus Vincere,Cloud9,16,9
Astralis,Gambit,16,10
PENTA,k1ck,2,0
CLG,Envy,16,8
fnatic,Splyce,16,5
CSGL,ALTERNATE aTTaX,2,1
Liquid,FaZe,16,11
Luminosity,mousesports,16,13
NIP,FlipSid3,19,17
TYLOO,AllGamers,2,0
Wings,HG,2,0
Tempo Storm,Obey.Alliance,3,1
visomvet,RAIDERS,2,0
CSGL,Ancient,2,0
LGR,Empire,2,1
Epsilon,Alpha,2,0
CSGL,CPH Wolves,2,1
Signature,Absolute Monster,16,2
TheMongolz,MVP.karnal,2,1
Exodus,Savor the Fear,16,6
Empire,ENCE,1,0
Signature,Orange,16,2
Absolute Monster,Devious ,16,11
Exodus,Savage Wolves,16,5
Savor the Fear,CORE,16,14
Millenium,LDLC Blue,2,0
Selfless,Tempo Storm,2,1
Selfless,Splyce,2,1
Cloud9,NRG,2,0
Rasta,PRIDE,3,1
Tempo Storm,Winterfox,2,0
Cloud9,TSM,2,0
NRG,BOTS,2,0
eSuba,Superheroes,3,1
Splyce,Third Equinox,2,1
Tempo Storm,Later kidz,2,1
LDLC Blue,Platinium,16,8
Ancient,eXplosive,2,0
Winterfox,Obey.Alliance,2,0
TSM,KKona,2,0
NRG,Mostly Animosity,2,0
TogetherAsOne,RB,16,11
Selfless,Booty Clappers,2,0
Cloud9,tNt,2,0
Millenium,Platinium,2,0
LDLC Blue,Dead Pixels,16,5
eXplosive,Preparation,16,14
Superheroes,Pixel,2,0
Ancient,Iwku,16,5
aimclub,iNation,16,7
BOTS,OpTic,1,0
CSGL,Epsilon,16,11
CPH Wolves,Enso,16,6
Hanoi Vortex,Imanity,16,7
Deathtrap,SuperMassive,16,3
TitaNs,MOTV,16,8
eSuba,Superheroes,2,1
Imanity,EMC,16,14
Millenium,LDLC Blue,2,0
Platinium,E-Corp,2,0
Hanoi Vortex,xqR,19,17
Virtual Impact,Devcat,1,0
MOTV,dream[S]cape,16,11
TitaNs,1st eSports,16,5
dream[S]cape,Threats,1,0
Torpedo,Arcade,2,0
HellRaisers,E-frag.net,2,0
Secret fe,CLG Red,2,0
Arcade,FLuffy Gangsters,2,0
CLG Red,Millenium fe,2,1
Secret fe,Exertus fe,2,0
Mineski,Mercenaries,16,11
E-frag.net,Space Soldiers,2,0
Threats,Signature,16,14
Exertus fe,LGB fe,2,0
CLG Red,LDLC fe,2,0
Mineski,HanoiAnimals,16,8
Millenium fe,Karma,2,0
Secret fe,YP Ladies,2,0
HellRaisers,Publiclir.se,2,0
Mercenaries,HKTP,16,2
Signature,LiberateD,16,6
LDLC fe,doyoueven fe,2,1
YP Ladies,ALSEN fe,2,1
Threats,Zenith,16,3
Millenium fe,Area08 fe,2,0
ALSEN fe,Wyvern Ladies,2,0
YP Ladies,mCon fe,2,0
Space Soldiers,SK,2,1
Publiclir.se,CPH Wolves,2,0
Area08 fe,Orbit fe,2,1
KoN Sweden,KoN Finland,16,12
Torpedo,Empire,2,1
Wyvern Ladies,nKnown fe,2,0
mCon fe,Rize fe,2,0
KoN Sweden,KoN Norway,16,11
HellRaisers,Preparation,2,1
Bpro,CS-GO.rs,16,6
doyoueven fe,ENYO fe,2,0
E-frag.net,Dignitas,2,1
KoN Norway,KoN Denmark,16,9
Karma,ALSEN fe,2,0
Secret fe,Millenium fe,2,0
Torpedo,Binary Dragons,16,10
Empire,k1ck,16,7
LDLC fe,Planetkey fe,2,0
CLG Red,YP Ladies,2,0
Arcade,PENTA,16,13
FLuffy Gangsters,AGG,16,13
Exertus fe,LDLC fe,2,1
LGB fe,doyoueven fe,2,1
Millenium fe,Area08 fe,2,0
YP Ladies,Rize fe,2,0
Publiclir.se,Plantronics,19,15
Preparation,ALTERNATE aTTaX,16,11
E-frag.net,Epsilon,16,14
Space Soldiers,Iwku,16,7
ALSEN fe,nKnown fe,2,0
Dignitas,Preparation,16,14
Exertus fe,Planetkey fe,2,0
Plantronics,ENCE,16,7
CPH Wolves,E-frag.net,16,9
Space Soldiers,RCTIC,16,6
SK,Publiclir.se,16,8
Epsilon,Alpha,16,6
CLG Red,mCon fe,2,0
doyoueven fe,ENYO fe,2,0
ALTERNATE aTTaX,Fragsters,16,4
HellRaisers,Iwku,16,11
Karma,Wyvern Ladies,2,0
Secret fe,Orbit fe,2,0
Publiclir.se,ENCE,16,13
Preparation,ALTERNATE aTTaX,16,8
Dignitas,Fragsters,16,7
E-frag.net,Epsilon,16,8
CPH Wolves,Alpha,16,10
SK,Plantronics,16,7
Iwku,RCTIC,16,7
HellRaisers,Space Soldiers,16,6
Booty Clappers,One,16,5
Insolent,Lucendi Azolt,16,7
Obey.Alliance,KKona,2,1
One,Devour,16,14
Bee's Money Crew,LunatiK,2,0
Booty Clappers,DSS,16,11
Lucendi Azolt,8 Minded,21,19
Insolent,RivaL,16,12
Escape,YP,2,0
Publiclir.se,Orbit,2,1
Alpha,Bananaboys,2,1
Preparation,404OrgNotFound,2,0
Space Soldiers,BX3,2,0
AGG,ALTERNATE aTTaX,2,1
Fragsters,FAB,2,0
Plantronics,WinOut,2,0
Iwku,Krydsild,2,0
Torpedo,k1ck,2,0
Epsilon,Isak,2,0
Escape,CSGL,2,1
BX3,Epiphany Bolt,2,1
Bpro,XPC,16,12
FAB,Tricked,2,1
Publiclir.se,GamersLeague,2,1
Plantronics,n0_0rg,2,0
Krydsild,Aquiver.BLU,2,0
404OrgNotFound,Skal du begraves?,2,0
Fragsters,Aquiver.RED,2,0
aimclub,neXtPlease!,16,11
Escape,AGG,2,1
Isak,Playing Ducks,2,0
WinOut,eXtatus,2,0
Iwku,Recursive,2,0
Space Soldiers,Flash,2,0
Epsilon,Heroic,2,0
Orbit,OBEY,2,0
Bananaboys,naptoR.Factory,2,0
Isak,Eastern Vikings,16,14
404OrgNotFound,seven,16,11
OBEY,Energy,16,7
BX3,malefiQ,16,6
Aquiver.BLU,hiddenOP,16,11
FAB,Wicked,16,6
Recursive,Quantaya,16,12
Skal du begraves?,!nsurgents,16,11
Heroic,aNimus,16,11
Flash,Dem Boyz,16,6
GamersLeague,SvQmmerICruzares,16,6
naptoR.Factory,Fox Stratos,16,2
Aquiver.RED,Tekweb,16,1
n0_0rg,Bar røv og sandaler,16,1
eXtatus,Inside,16,1
TYLOO,J2G,2,0
Publiclir.se,FAB,19,15
Eastern Vikings,WarMonkeys,16,12
Preparation,Fox Stratos,16,13
Inside,Telos,16,14
WinOut,malefiQ,16,9
SvQmmerICruzares,AfterClap,16,13
Playing Ducks,Aquiver.BLU,16,12
Krydsild,OBEY,16,10
Plantronics,Aquiver.RED,16,10
Alpha,404OrgNotFound,16,4
hiddenOP,Vacuous Baboons,16,10
Iwku,GamersLeague,16,3
BX3,the pickles,16,4
Tricked,Heroic,16,4
Epsilon,Flash,16,8
Wicked,Ollebolle,16,5
Epiphany Bolt,n0_0rg,16,9
Fragsters,Isak,16,3
Energy,WDHA,16,7
Bar røv og sandaler,temporary,16,4
Space Soldiers,eXtatus,16,3
Dem Boyz,walkover,16,3
naptoR.Factory,SesiBaren,16,4
Quantaya,fLYVERNE,16,2
Bananaboys,Recursive,16,2
seven,FOXTROT,16,1
aNimus,Tog,16,3
Orbit,!nsurgents,16,5
Skal du begraves?,@SNULLE,16,1
Tekweb,Influx Nordic,16,2
Isak,WarMonkeys,19,17
404OrgNotFound,FOXTROT,16,14
OBEY,Energy,16,14
Bananaboys,Quantaya,19,16
Fragsters,Eastern Vikings,16,13
Krydsild,WDHA,16,11
Aquiver.BLU,hiddenOP,19,16
malefiQ,BX3,16,9
Preparation,SesiBaren,16,2
Fox Stratos,naptoR.Factory,16,5
Alpha,seven,16,6
Epsilon,walkover,16,8
Epiphany Bolt,temporary,16,9
WinOut,the pickles,16,2
n0_0rg,Bar røv og sandaler,16,8
Plantronics,Tekweb,16,5
Heroic,aNimus,16,5
Tricked,Tog,16,1
Flash,Dem Boyz,16,5
Orbit,Skal du begraves?,16,11
Publiclir.se,Wicked,16,5
Iwku,SvQmmerICruzares,16,2
Aquiver.RED,Influx Nordic,16,0
Recursive,fLYVERNE,16,0
eXtatus,Inside,16,3
Space Soldiers,Telos,16,1
GamersLeague,AfterClap,16,1
FAB,Ollebolle,16,0
Playing Ducks,Vacuous Baboons,16,4
!nsurgents,@SNULLE,16,2
New4,Wings,2,0
TYLOO,eFuture,2,0
Young Money Militia,Kitfoxes,21,16
Third pupil,Insomnia,16,8
Selfless,NRG,2,0
Young Money Militia,Grimalkin,16,9
Cloud9,Winterfox,16,3
Kitfoxes,Wet Bandits,16,4
Cloud9,Winterfox,16,7
Third pupil,SYG,16,7
Luminosity,KKona,16,5
Luminosity,KKona,16,13
Insomnia,PSISTORM,16,12
YP,LDLC Blue,2,1
Gambit,PENTA,2,0
NIP,Astralis,16,4
NIP,Astralis,16,8
Planetkey,Empire,2,1
fnatic,FlipSid3,16,14
YP,E-frag.net,16,10
fnatic,FlipSid3,16,13
LDLC Blue,CPH Wolves,16,10
Escape,Method,16,12
CSGL,FLuffy Gangsters,16,14
GameAgents,Pixel,1,0
Braindead,Mist Globals,1,0
Broken Alliance,Rhythm,1,0
Mist Globals,One,16,13
CLG,Tempo Storm,2,0
NRG,Winterfox,16,12
Renegades,Splyce,16,6
Braindead,h00liGaNz,16,12
NRG,Winterfox,16,10
Renegades,Splyce,16,4
Broken Alliance,TNT,16,4
Selfless,OpTic,16,14
Rhythm,Insolent,21,15
Selfless,OpTic,16,10
HellRaisers,Ancient,2,1
Dignitas,mousesports,16,10
Epsilon,PENTA,2,1
Dignitas,mousesports,19,16
Deathtrap,RB,16,9
Escape,Dead Pixels,2,0
SK,FlipSid3,16,13
iNation,SuperMassive,16,7
Enso,eXtatus,2,0
FlipSid3,SK,16,10
HellRaisers,ALTERNATE aTTaX,2,0
CS-GO.rs,TogetherAsOne,16,13
AGG,ENCE,2,0
VG.CyberZen,HG,2,0
EDG,AllGamers,2,0
Winterfox,Complexity,16,14
NRG,Vault,2,0
Winterfox,Complexity,16,12
Cloud9,NRG,16,5
Luminosity,TSM,2,1
Cloud9,NRG,16,12
CSGL,k1ck,2,0
FlipSid3,SK,2,0
Ancient,Empire,2,0
Alpha,Nevermad,2,0
SK,LDLC Blue,2,1
XPC,Empire,1,0
Empire,AGG,16,14
Ancient,eXplosive,16,8
HellRaisers,Arcade,16,13
ALTERNATE aTTaX,Enso,16,13
LGR,eXtatus,2,0
AGG,ENCE,2,0
Cloud9,Liquid,2,1
Luminosity,Splyce,16,8
Luminosity,Splyce,16,11
Liquid,CLG,22,19
2KILL,Brekan,2,0
Liquid,CLG,16,5
Selfless,Winterfox,16,5
Winterfox,Selfless,16,10
2KILL,Rejected,2,1
Astralis,Dignitas,16,5
Astralis,Dignitas,16,11
Liquid,CLG,2,1
Natus Vincere,Envy,16,7
Dignitas,AGG,2,1
Natus Vincere,Envy,16,11
Brekan,Dynasty,2,1
FlipSid3,mousesports,16,13
Ancient,CPH Wolves,2,0
AlienTech,Imperio Multimedia,3,0
FlipSid3,mousesports,16,12
Cloud9,Selfless,2,0
AGG,SK,2,0
CPH Wolves,G2,2,1
Dignitas,HellRaisers,2,1
Ancient,FlipSid3,2,0
SK,Epsilon,2,1
Dignitas,Infinity,2,0
Bravado,Aperture,2,0
Ancient,ENCE,2,0
AGG,Space Soldiers,2,0
FlipSid3,WE GOT GAME,2,0
CPH Wolves,PENTA,2,0
Imperio Multimedia,FTW.PRO,2,0
HellRaisers,Gambit,2,0
G2,FLuffy Gangsters,2,0
Liquid,TSM,2,0
Selfless,Splyce,16,11
Selfless,Splyce,16,5
Luminosity,CLG,16,12
Cloud9,OpTic,2,0
Luminosity,CLG,16,9
Brekan,Magnum Monsters,2,0
Winterfox,Liquid,16,11
CLG,Tempo Storm,2,1
2KILL,Vulcan Squad,2,0
NIP,SK,19,16
Liquid,Winterfox,16,8
Selfless,Luminosity,2,1
AlienTech,FTW.Evo,2,0
NIP,SK,16,8
fnatic,Dignitas,16,5
Dynasty,Guerreros del Mouse,2,1
fnatic,Dignitas,16,6
Rejected,Furious,2,1
TSM,Renegades,2,1
mousesports,FaZe,16,13
Imperio Multimedia,FTW.Evo,16,12
Selfless,Winterfox,2,0
Epsilon,Refuse,21,19
mousesports,FaZe,16,14
ENCE,Arcade,16,8
WE GOT GAME,Tricked,16,13
HellRaisers,LDLC Blue,16,7
PENTA,Orbit,16,8
FTW.Evo,EasyMind,16,3
FLuffy Gangsters,Tempest,16,5
Infinity,BLACK.p,1,0
Space Soldiers,nGw,16,3
EasyMind,Galatics,16,12
OpTic,BigGods,16,10
fnatic,mousesports,16,4
LDDM,TSG,16,5
G2,FlipSid3,16,7
BigGods,Crashers,16,2
Publiclir.se,nerdRage,2,0
G2,FlipSid3,16,12
Innova,Perrinho Sin Colinha,16,3
FlipSid3,Ancient,2,1
Astralis,SK,16,5
k1ck,Galatics,2,0
Astralis,SK,16,7
G2,CPH Wolves,2,1
TYLOO,VG.CyberZen,2,0
gBots,Galatics,2,0
mousesports,noKappa,2,0
CSGL,Dignitas,2,0
FlipSid3,Preparation,2,1
Ancient,SK,2,1
noKappa,Gambit,2,1
G2,eSuba,2,1
CPH Wolves,E-frag.net,2,1
CSGL,PENTA,2,0
VG.CyberZen,Signature,2,0
TYLOO,Immunity,2,0
mousesports,Chosen5,2,0
Dignitas,TDJSF,2,0
Immunity,inchk1ng,2,1
Signature,TheMongolz,2,1
TYLOO,MVP.karnal,2,0
VG.CyberZen,Legacy,2,0
Immunity,xqR,2,1
MVP.karnal,MVP Project,2,0
inchk1ng,Risky,2,0
VG.CyberZen,Threats,2,0
Legacy,EDG,2,0
TYLOO,dream[S]cape,2,0
Signature,nxl,2,0
TheMongolz,Savage Wolves,2,0
Renegades,OpTic,16,9
OpTic,Renegades,16,7
INTZ,DEMONIO,31,25
Cloud9,Complexity,16,2
Cloud9,Complexity,19,15
dreamWorks ,rEAK,16,14
NRG,KKona,16,14
NRG,KKona,16,10
INTZ,ProGaming,16,10
FaZe,SK,16,3
DEMONIO,Apoka Academics,21,17
SK,FaZe,25,23
rEAK,BlackSheep,16,12
G2,Virtus.pro,16,6
Virtus.pro,G2,16,14
dreamWorks ,TShow,16,3
Envy,Astralis,16,7
GameAgents,n1ce,2,1
Astralis,Envy,16,10
TDJSF,ENCE,16,10
PENTA,demonlaget,16,11
Preparation,HellRaisers,16,8
Ancient,Orbit,16,11
eSuba,BFFsIRL,16,9
CPH Wolves,Platinium,16,13
Gambit,AliGon,16,10
Chosen5,LDLC Blue,16,7
xqR,TitaNs,16,12
EDG,EMC,19,16
dream[S]cape,Mineski,16,10
Threats,7GU6,16,8
Risky,Long Live Democracy,16,14
Savage Wolves,Mahameru,16,11
MVP Project,T5,16,10
Signature,MiTH,16,12
eSuba,LeiSuRe,16,4
Recursive,DEEZ NUTS,16,12
KoN Sweden,KoN Finland,16,11
nerdRage,Galatics,2,0
KoN Finland,KoN Denmark,16,12
eSuba,RCTIC,16,8
LeiSuRe,FLuffy Gangsters,16,14
KoN Denmark,KoN Norway,16,5
DEEZ NUTS,eXplosive,16,10
Recursive,CSGO2x,16,4
NRG,Complexity,16,13
KKona,Splyce,2,0
NRG,Complexity,16,13
Luminosity,NRG,16,9
Tempo Storm,8 Minded,2,0
Luminosity,NRG,16,3
Publiclir.se,AlienTech,2,0
Refuse,ELTZ,1,0
Natus Vincere,FaZe,16,12
E-frag.net,SK,19,17
PENTA,AR8,16,7
Orgless,YP,2,0
Natus Vincere,FaZe,19,17
E-frag.net,Method,16,11
PENTA,noKappa,16,9
Ancient,SK,16,14
Dignitas,FMESPORTS,2,0
FaZe,FaZe,19,16
CLG,NRG,16,12
AlienTech,QuetzaL,2,0
fnatic,Liquid,16,6
Astralis,Expendables,16,12
Astralis,Cl4nless,16,11
Games4u,J2G,2,1
BX3,G2,2,0
fnatic,Publiclir.se,16,7
Vexed,CPH Wolves,2,0
DeToNator,Vexed,2,1
T5,Envy,16,7
ex-Astral Authority,FlipSid3,2,0
Epiphany Bolt,Epiphany Bolt,2,1
ACE,NRG,2,1
SK,Cloud9,2,0
KoN Denmark,Epiphany Bolt,16,11
CG,iNation,16,13
PENTA,Lemondogs,16,13
E-frag.net,DenDD,16,10
Chiefs,Lemondogs,16,9
Risky,Eat You Alive,16,8
CyberZen,Renegades,16,4
Chiefs,Eat You Alive,16,14
ELTZ,YP,16,10
TheMongolz,Playing Ducks,2,0
Brekan,?,2,0
Santos.DeX,GANK,2,0
Vexed,ex-Titan,2,0
Santos.DeX,CNB,16,9
PENTA,Games Academy,2,1
YP,Quest,2,0
TheMongolz,Arcade,2,1
Splyce,hNp.black,2,0
Epiphany Bolt,LowLandLions,19,16
fnatic,Imagination,2,0
aeternus,Brave of Warriors,1,0
Natus Vincere,AllGamers,2,1
Chiefs,LGB fe,2,0
Vox Eminor,G2,2,0
HellRaisers,London Conspiracy,2,1
Envy,EYES ON U,2,1
LGB fe,LGB fe,2,1
EYES ON U,Expert,2,1
?,E-frag.net,2,0
Rebels,Infernal Paradise,2,0
WRTP,YP Ladies,2,0
inchk1ng,T5,16,8
TheMongolz,J2G,16,3
CyberZen,PUZZLES,2,1
Legacy,Vox Eminor,2,0
Immunity,Chiefs,2,0
Torpedo,ttc,2,1
E-frag.net,Natus Vincere,2,1
FlipSid3,Rebels,2,0
fnatic,NIP,2,1
Rebels,HS.GG,2,1
gBots,x6tence,2,0
CLG,Complexity,2,0
FlipSid3,mmmm,1,0
Titan,E-frag.net,2,0
Arcade,NPME,2,0
CSGO.one,FlipSid3,2,1
x6tence,overGame,2,1
Complexity,Nexus,2,1
GANK,pow,2,0
fnatic,SK,2,1
CSGO.one,Rebels,2,1
TamuluS,T5,2,1
pow,Brave of Warriors,2,0
TYLOO,Various Artists,2,0
Exile5,TRIDENT,2,0
gBots,Atlantis,2,0
PUZZLES,Brave of Warriors,2,0
Born Of Fire,Fountain of Fire,2,0
Immunity,Legacy,2,0
Groovy,OVP,3,0
CLG,Splyce,2,1
OVP,Artyk,16,10
Splyce,Method,16,14
Complexity,CLG Red,16,7
Artyk,Gamers INC,16,8
Method,CLG Red,16,11
Complexity,Splyce,16,12
Complexity,Method,16,11
Splyce,CLG Red,16,5
ACE,3sUP,16,8
CLG,Nexus,16,6
PENTA,KILLERFISH,2,1
CLG,ACE,16,11
Nexus,3sUP,16,14
YP,NPME,2,0
Atlantis,Infinity,2,1
Nexus,ACE,16,7
NIP,fnatic,2,1
CLG,3sUP,16,1
Arcade,Handface,2,0
